PLAYER,TEAM,GP,W,L,W%,WQ,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF
James Harden,HOU,81,54,27,0.667,0.506,36.4,29.1,8.3,18.9,44.0,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7,8.1,11.2,5.7,1.5,0.5,2.7
Russell Westbrook,OKC,81,46,35,0.568,0.409,34.6,31.6,10.2,24.0,42.5,2.5,7.2,34.3,8.8,10.4,84.5,1.7,9,10.7,10.4,5.4,1.6,0.4,2.3
DeMar DeRozan,TOR,74,47,27,0.635,0.468,35.4,27.3,9.7,20.9,46.7,0.4,1.7,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8
John Wall,WAS,78,48,30,0.615,0.467,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2,0.6,1.9
Isaiah Thomas,BOS,76,51,25,0.671,0.473,33.8,28.9,9.0,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2
Jimmy Butler,CHI,76,40,36,0.526,0.406,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5
Damian Lillard,POR,75,38,37,0.507,0.379,35.9,27.0,8.8,19.8,44.4,2.9,7.7,37.0,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2
LeBron James,CLE,74,51,23,0.689,0.543,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8
Kyle Lowry,TOR,60,36,24,0.600,0.468,37.4,22.4,7.1,15.3,46.4,3.2,7.8,41.2,5,6.1,81.9,0.8,4,4.8,7,2.9,1.5,0.3,2.8
Andrew Wiggins,MIN,82,31,51,0.378,0.293,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76.0,1.2,2.8,4,2.3,2.3,1,0.4,2.2
DeMarcus Cousins,NOP,72,30,42,0.417,0.297,34.2,27.0,9.0,19.9,45.2,1.8,5.0,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,3.7,1.4,1.3,3.9
Devin Booker,PHX,78,24,54,0.308,0.224,35,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1
Kyrie Irving,CLE,72,47,25,0.653,0.477,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2
Kawhi Leonard,SAS,74,54,20,0.730,0.508,33.4,25.5,8.6,17.7,48.5,2.0,5.2,38.0,6.3,7.2,88.0,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6
Stephen Curry,GSW,79,65,14,0.823,0.573,33.4,25.3,8.5,18.3,46.8,4.1,10.0,41.1,4.1,4.6,89.8,0.8,3.7,4.5,6.6,3,1.8,0.2,2.3
Blake Griffin,LAC,61,40,21,0.656,0.464,34,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76.0,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6
Gordon Hayward,UTA,73,46,27,0.630,0.453,34.5,21.9,7.5,15.8,47.1,2.0,5.1,39.8,5,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1,0.3,1.6
Eric Bledsoe,PHX,66,22,44,0.333,0.229,33,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5
Goran Dragic,MIA,73,40,33,0.548,0.385,33.7,20.3,7.3,15.4,47.5,1.6,4.0,40.5,4.1,5.2,79.0,0.8,3,3.8,5.8,2.9,1.2,0.2,2.7
